Threshold,FPR,TPR
0.6770991484514124,0.0275,0.7766823831975996
0.6759923791433513,0.028,0.7766823831975996
0.6734758803049238,0.028,0.7776825260751536
0.6729685872267691,0.0285,0.7776825260751536
0.6705794457349312,0.0285,0.7786826689527075
0.6696373927268234,0.029,0.7786826689527075
0.6675083599093,0.029,0.7796828118302614
0.6671261431206249,0.0295,0.7796828118302614
0.6625573083015683,0.0295,0.7816830975853694
0.661878194416938,0.0305,0.7816830975853694
0.6613347220131988,0.0305,0.782540362908987
0.6601764061956987,0.031,0.782540362908987
0.6596901055755735,0.031,0.7831118731247321
0.6593161338637225,0.0315,0.7831118731247321
0.6555397474327219,0.0315,0.78511215887984
0.6553268309002729,0.032,0.78511215887984
0.6539395161710797,0.032,0.7856836690955851
0.6537068293035216,0.0325,0.7856836690955851
0.653438305450104,0.0325,0.7858265466495213
0.653352372813727,0.033,0.7858265466495213
0.6529404855261883,0.033,0.7861123017573939
0.652720053197554,0.0335,0.7861123017573939
0.6469556801363975,0.0335,0.787683954850693
0.6467430430008351,0.034,0.787683954850693
0.642272774709415,0.034,0.790255750821546
0.6414033609292323,0.0345,0.790255750821546
0.6406697069267304,0.0345,0.7905415059294185
0.6406407627404022,0.035,0.7905415059294185
0.6383767425973857,0.035,0.7916845263609087
0.6383394434726319,0.0355,0.7916845263609087
0.6369891856356252,0.0355,0.791827403914845
0.6368826742245925,0.036,0.791827403914845
0.6349656890380118,0.036,0.7925417916845263
0.6349654889713491,0.0365,0.7925417916845263
0.633950780640067,0.0365,0.7926846692384626
0.6338797597379848,0.037,0.7926846692384626
0.6336984549865753,0.037,0.7929704243463352
0.6334095226480023,0.0375,0.7929704243463352
0.629787911643499,0.0375,0.7946849549935705
0.6292758970023635,0.038,0.7946849549935705
0.6265178959987416,0.038,0.7956850978711244
0.6258393328021418,0.039,0.7956850978711244
0.6254237954652755,0.039,0.7961137305329333
0.6249137878410413,0.0405,0.7961137305329333
0.6247784458962617,0.0405,0.7962566080868696
0.6243245257069197,0.041,0.7962566080868696
0.6197274491504878,0.041,0.7983997713959137
0.6190723704495804,0.0415,0.7983997713959137
0.6168805782727111,0.0415,0.800114302043149
0.6160836962436281,0.0425,0.800114302043149
0.616064069298843,0.0425,0.8002571795970853
0.6160606389383577,0.043,0.8002571795970853
0.6160242740685322,0.043,0.8004000571510216
0.6159109619974426,0.0435,0.8004000571510216
0.6125954888412013,0.0435,0.8019717102443206
0.6125438422852603,0.044,0.8019717102443206
0.6124443224556475,0.044,0.8021145877982568
0.6105336522016017,0.0445,0.8021145877982568
0.6082944740758438,0.0445,0.8029718531218746
0.6082225622605342,0.045,0.8029718531218746
0.6079802913823746,0.045,0.8031147306758109
0.6079011060838054,0.0455,0.8031147306758109
0.6065940614983122,0.0455,0.8041148735533648
0.6065224284771847,0.046,0.8041148735533648
0.603564301883462,0.046,0.8051150164309187
0.6033656390574872,0.0465,0.8051150164309187
0.6023675593553656,0.0465,0.8058294042006001
0.6019451238499881,0.047,0.8058294042006001
0.5975898059803866,0.047,0.8076868124017716
0.5967724893937018,0.0475,0.8076868124017716
0.5957015503312391,0.0475,0.8085440777253894
0.5950598865889242,0.048,0.8085440777253894
0.5900357349776035,0.048,0.8106872410344335
0.5900264129011202,0.0485,0.8106872410344335
0.5871449088292358,0.0485,0.81197313901986
0.5869134963811902,0.049,0.81197313901986
0.5849569027057343,0.049,0.8129732818974139
0.5846453534585476,0.0495,0.8129732818974139
0.5846301447941514,0.0495,0.8132590370052865
0.5835029874617678,0.05,0.8132590370052865
0.5829523634738575,0.05,0.813544792113159
0.5819392762673647,0.051,0.813544792113159
0.5817751248563305,0.051,0.8136876696670953
0.5816607892490435,0.0515,0.8136876696670953
0.5774223154464112,0.0515,0.8146878125446493
0.5761318678649688,0.053,0.8146878125446493
0.5735850462207919,0.053,0.8155450778682669
0.5725420062704504,0.0535,0.8155450778682669
0.572445414289951,0.0535,0.8156879554222032
0.5719455242809364,0.054,0.8156879554222032
0.570189215708792,0.054,0.8162594656379483
0.5695041702452786,0.0545,0.8162594656379483
0.5671376831727529,0.0545,0.8171167309615659
0.5667470358580737,0.055,0.8171167309615659
0.5639663333002457,0.055,0.8181168738391199
0.5639315445696161,0.0555,0.8181168738391199
0.5585432736004358,0.0555,0.8205457922560365
0.5581886268310602,0.056,0.8205457922560365
0.5579314273575602,0.056,0.8206886698099729
0.5572929691441715,0.0565,0.8206886698099729
0.5526809848253789,0.0565,0.822831833119017
0.5515166094504368,0.057,0.822831833119017
0.5485607958754438,0.057,0.8234033433347621
0.5485513183051476,0.0575,0.8234033433347621
0.54814063268705,0.0575,0.8236890984426347
0.5479984287565963,0.058,0.8236890984426347
0.5411212136554925,0.058,0.8259751393056151
